"","VotesAgainst2017"
"all000008",0.0559440559440559
"all000013",0.127906976744186
"all000029",0.114093959731544
"all000183",0.0695970695970696
"all000014",0.0350877192982456
"all000034",0.0546875
"all000016",0.0688405797101449
"all000001",0.0641025641025641
"all000010",0.060377358490566
"all000035",0.0625
"all000005",0.05
"all000179",0.0654205607476635
"all000030",0.116363636363636
"all000186",0.088339222614841
"all000101",0.0634920634920635
"all000144",0.0398406374501992
"all000002",0.10580204778157
"all000021",0.0381944444444444
"all000028",0.169230769230769
"all000025",0.154716981132075
"all000022",0.0634146341463415
"all000165",0.0664335664335664
"all000015",0.0859872611464968
"all000019",0.0569395017793594
"all000032",0.0551724137931034
"all000011",0.107758620689655
"all000024",0.154205607476636
"all000026",0.103448275862069
"all000174",0.0655737704918033
"all000033",0.0821917808219178
"all000169",0.0752688172043011
"all000023",0.0575079872204473
"all000006",0.0512820512820513
"all000027",0.0723684210526316
