"Senator1","Senator2","Weight2017"
"all000008","all000013",0.845814977973568
"all000008","all000029",0.914728682170543
"all000008","all000183",0.96218487394958
"all000008","all000014",0.964285714285714
"all000008","all000034",0.920704845814978
"all000008","all000016",0.929166666666667
"all000008","all000001",0.943609022556391
"all000008","all000010",0.945945945945946
"all000008","all000035",0.942222222222222
"all000008","all000005",0.940828402366864
"all000008","all000179",0.938181818181818
"all000008","all000030",0.868085106382979
"all000008","all000186",0.937254901960784
"all000008","all000101",0.951851851851852
"all000008","all000144",0.949771689497717
"all000008","all000002",0.883534136546185
"all000008","all000021",0.972
"all000008","all000028",0.834782608695652
"all000008","all000025",0.832618025751073
"all000008","all000022",0.943502824858757
"all000008","all000165",0.954918032786885
"all000008","all000015",0.925093632958802
"all000008","all000019",0.930894308943089
"all000008","all000032",0.945736434108527
"all000008","all000011",0.881443298969072
"all000008","all000024",0.827777777777778
"all000008","all000026",0.925925925925926
"all000008","all000174",0.976744186046512
"all000008","all000033",0.921951219512195
"all000008","all000169",0.915611814345992
"all000008","all000023",0.941605839416058
"all000008","all000006",0.963855421686747
"all000008","all000027",0.925093632958802
"all000013","all000029",0.909090909090909
"all000013","all000183",0.819047619047619
"all000013","all000014",0.829787234042553
"all000013","all000034",0.861904761904762
"all000013","all000016",0.858407079646018
"all000013","all000001",0.851239669421488
"all000013","all000010",0.849246231155779
"all000013","all000035",0.844221105527638
"all000013","all000005",0.837349397590361
"all000013","all000179",0.846774193548387
"all000013","all000030",0.966666666666667
"all000013","all000186",0.81981981981982
"all000013","all000101",0.849593495934959
"all000013","all000144",0.834123222748815
"all000013","all000002",0.935344827586207
"all000013","all000021",0.871681415929204
"all000013","all000028",0.933673469387755
"all000013","all000025",0.981651376146789
"all000013","all000022",0.796511627906977
"all000013","all000165",0.838565022421525
"all000013","all000015",0.83402489626556
"all000013","all000019",0.894977168949772
"all000013","all000032",0.853333333333333
"all000013","all000011",0.947089947089947
"all000013","all000024",0.977011494252874
"all000013","all000026",0.857142857142857
"all000013","all000174",0.819148936170213
"all000013","all000033",0.847133757961783
"all000013","all000169",0.832558139534884
"all000013","all000023",0.860655737704918
"all000013","all000006",0.855263157894737
"all000013","all000027",0.864406779661017
"all000029","all000183",0.88
"all000029","all000014",0.903846153846154
"all000029","all000034",0.895652173913044
"all000029","all000016",0.902985074626866
"all000029","all000001",0.934782608695652
"all000029","all000010",0.925925925925926
"all000029","all000035",0.875
"all000029","all000005",0.906976744186046
"all000029","all000179",0.917808219178082
"all000029","all000030",0.934959349593496
"all000029","all000186",0.884057971014493
"all000029","all000101",0.923611111111111
"all000029","all000144",0.875
"all000029","all000002",0.952
"all000029","all000021",0.9296875
"all000029","all000028",0.860655737704918
"all000029","all000025",0.928571428571429
"all000029","all000022",0.909090909090909
"all000029","all000165",0.920634920634921
"all000029","all000015",0.892307692307692
"all000029","all000019",0.915966386554622
"all000029","all000032",0.937984496124031
"all000029","all000011",0.967741935483871
"all000029","all000024",0.929411764705882
"all000029","all000026",0.873684210526316
"all000029","all000174",0.917431192660551
"all000029","all000033",0.890243902439024
"all000029","all000169",0.891891891891892
"all000029","all000023",0.942028985507246
"all000029","all000006",0.941176470588235
"all000029","all000027",0.927536231884058
"all000183","all000014",0.973118279569892
"all000183","all000034",0.940298507462687
"all000183","all000016",0.921487603305785
"all000183","all000001",0.957198443579767
"all000183","all000010",0.953703703703704
"all000183","all000035",0.95
"all000183","all000005",0.974193548387097
"all000183","all000179",0.954716981132075
"all000183","all000030",0.854625550660793
"all000183","all000186",0.9625
"all000183","all000101",0.957364341085271
"all000183","all000144",0.971153846153846
"all000183","all000002",0.878048780487805
"all000183","all000021",0.978813559322034
"all000183","all000028",0.816901408450704
"all000183","all000025",0.815315315315315
"all000183","all000022",0.940828402366864
"all000183","all000165",0.970464135021097
"all000183","all000015",0.945098039215686
"all000183","all000019",0.939655172413793
"all000183","all000032",0.96218487394958
"all000183","all000011",0.878306878306878
"all000183","all000024",0.817142857142857
"all000183","all000026",0.907608695652174
"all000183","all000174",0.976303317535545
"all000183","all000033",0.928571428571429
"all000183","all000169",0.95067264573991
"all000183","all000023",0.948818897637795
"all000183","all000006",0.974683544303797
"all000183","all000027",0.936254980079681
"all000014","all000034",0.964467005076142
"all000014","all000016",0.98019801980198
"all000014","all000001",0.972727272727273
"all000014","all000010",0.971751412429379
"all000014","all000035",0.971910112359551
"all000014","all000005",0.964285714285714
"all000014","all000179",0.976958525345622
"all000014","all000030",0.854166666666667
"all000014","all000186",0.947916666666667
"all000014","all000101",0.972477064220184
"all000014","all000144",0.969387755102041
"all000014","all000002",0.876847290640394
"all000014","all000021",0.985148514851485
"all000014","all000028",0.771739130434783
"all000014","all000025",0.807909604519774
"all000014","all000022",0.961538461538462
"all000014","all000165",0.969072164948454
"all000014","all000015",0.943661971830986
"all000014","all000019",0.95959595959596
"all000014","all000032",0.975845410628019
"all000014","all000011",0.881944444444444
"all000014","all000024",0.798561151079137
"all000014","all000026",0.920529801324503
"all000014","all000174",0.982658959537572
"all000014","all000033",0.959731543624161
"all000014","all000169",0.939393939393939
"all000014","all000023",0.953488372093023
"all000014","all000006",0.99375
"all000014","all000027",0.95260663507109
"all000034","all000016",0.949308755760369
"all000034","all000001",0.97489539748954
"all000034","all000010",0.990243902439024
"all000034","all000035",0.984771573604061
"all000034","all000005",0.975903614457831
"all000034","all000179",0.98406374501992
"all000034","all000030",0.873303167420814
"all000034","all000186",0.929203539823009
"all000034","all000101",0.958847736625514
"all000034","all000144",0.980487804878049
"all000034","all000002",0.900900900900901
"all000034","all000021",0.968609865470852
"all000034","all000028",0.797872340425532
"all000034","all000025",0.821256038647343
"all000034","all000022",0.940828402366864
"all000034","all000165",0.972850678733032
"all000034","all000015",0.95397489539749
"all000034","all000019",0.986607142857143
"all000034","all000032",0.977678571428571
"all000034","all000011",0.901840490797546
"all000034","all000024",0.810126582278481
"all000034","all000026",0.888235294117647
"all000034","all000174",0.951612903225806
"all000034","all000033",0.966850828729282
"all000034","all000169",0.96
"all000034","all000023",0.970954356846473
"all000034","all000006",0.976470588235294
"all000034","all000027",0.974358974358974
"all000016","all000001",0.935361216730038
"all000016","all000010",0.944700460829493
"all000016","all000035",0.951541850220264
"all000016","all000005",0.939024390243902
"all000016","all000179",0.955056179775281
"all000016","all000030",0.847826086956522
"all000016","all000186",0.920502092050209
"all000016","all000101",0.946768060836502
"all000016","all000144",0.960526315789474
"all000016","all000002",0.883064516129032
"all000016","all000021",0.951807228915663
"all000016","all000028",0.80184331797235
"all000016","all000025",0.834080717488789
"all000016","all000022",0.935828877005348
"all000016","all000165",0.949367088607595
"all000016","all000015",0.930232558139535
"all000016","all000019",0.953191489361702
"all000016","all000032",0.950207468879668
"all000016","all000011",0.863874345549738
"all000016","all000024",0.837696335078534
"all000016","all000026",0.878453038674033
"all000016","all000174",0.934673366834171
"all000016","all000033",0.942528735632184
"all000016","all000169",0.929824561403509
"all000016","all000023",0.939163498098859
"all000016","all000006",0.970588235294118
"all000016","all000027",0.937743190661479
"all000001","all000010",0.983935742971888
"all000001","all000035",0.97165991902834
"all000001","all000005",0.989473684210526
"all000001","all000179",0.980066445182724
"all000001","all000030",0.883720930232558
"all000001","all000186",0.928571428571429
"all000001","all000101",0.972972972972973
"all000001","all000144",0.975103734439834
"all000001","all000002",0.91304347826087
"all000001","all000021",0.978102189781022
"all000001","all000028",0.833333333333333
"all000001","all000025",0.836734693877551
"all000001","all000022",0.954773869346734
"all000001","all000165",0.985130111524164
"all000001","all000015",0.959459459459459
"all000001","all000019",0.977358490566038
"all000001","all000032",0.988929889298893
"all000001","all000011",0.922727272727273
"all000001","all000024",0.833333333333333
"all000001","all000026",0.892307692307692
"all000001","all000174",0.969162995594714
"all000001","all000033",0.96551724137931
"all000001","all000169",0.965648854961832
"all000001","all000023",0.976109215017065
"all000001","all000006",0.994652406417112
"all000001","all000027",0.968531468531469
"all000010","all000035",0.985576923076923
"all000010","all000005",0.974842767295597
"all000010","all000179",0.984555984555985
