"","VotesAgainst2017","VotesAgainst2016","VotesAgainst2015","VotesAgainst2014","VotesAgainst2013","VotesAgainst2012","VotesAgainst2011","VotesAgainst2010","VotesAgainst2009","VotesAgainst2008"
"cal000033",NA,NA,NA,NA,NA,NA,NA,0.16551724137931,0.237523105360444,0.217391304347826
"cal000017",NA,NA,NA,NA,NA,NA,NA,0.184909670563231,0.206024096385542,0.208333333333333
"cal000013",NA,NA,NA,NA,NA,NA,NA,0.253968253968254,0.462745098039216,NA
"cal000015",NA,NA,NA,NA,NA,0.281098546042003,0.371900826446281,0.317647058823529,0.32180595581172,0
"cal000049",0.492260061919505,0.18042226487524,0.198354661791591,0.170340681362725,0.196461824953445,NA,NA,NA,NA,NA
"cal000025",NA,NA,NA,0.485865724381625,0.447477253928867,0.447154471544715,0.477647058823529,0.430944963655244,0.483439041578576,0
"cal000170",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cal000036",NA,NA,NA,0.0232558139534884,0.104,0.144827586206897,0.135498320268757,0.16304347826087,0.116648992576882,0.208333333333333
"cal000035",NA,NA,NA,NA,0.127083333333333,0.1171875,0.128282828282828,0.191823899371069,0.169201520912548,0.208333333333333
"cal000514",0.337349397590361,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cal000007",NA,NA,NA,0.227522935779817,0.206560283687943,0.226666666666667,0.23321554770318,0.208291203235591,0.368421052631579,0.208333333333333
"cal000024",NA,NA,NA,NA,NA,0.100451467268623,0.111111111111111,NA,NA,NA
"cal000521",0.445182724252492,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cal000021",NA,NA,NA,NA,NA,NA,NA,0.356756756756757,0.385918003565062,NA
"cal000118",NA,NA,NA,NA,NA,0.317596566523605,0.316479400749064,NA,NA,NA
"cal000130",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cal000482",0.605555555555556,0.193517635843661,0.189114391143911,NA,NA,NA,NA,NA,NA,NA
"cal000001",NA,NA,NA,NA,NA,NA,NA,0.466476462196862,0.475626740947075,0
"cal000501",0.528,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cal000030",NA,NA,NA,NA,NA,0.462517680339463,0.426614481409002,0.413432835820896,0.377645502645503,NA
"cal000141",0.432539682539683,0.120545073375262,0.106044538706257,0.183756345177665,0.178677196446199,NA,NA,NA,NA,NA
"cal000062",0.516417910447761,0.143157894736842,0.141271442986882,0.197710718002081,0.157688540646425,NA,NA,NA,NA,NA
"cal000133",0.380228136882129,0.184062850729517,0.184649610678532,0.239344262295082,0.256385068762279,0.263157894736842,0.290710382513661,NA,NA,NA
"cal000080",NA,NA,NA,NA,NA,NA,NA,0.233653846153846,0.185763888888889,0.208333333333333
"cal000005",NA,0.119747899159664,0.129158512720157,0.185831622176591,0.188188188188188,0.186405767250257,0.182890855457227,0.352032520325203,0.36431989063568,0.208333333333333
"cal000112",NA,0.105882352941176,0.119176598049837,NA,NA,NA,NA,NA,NA,NA
"cal000038",NA,NA,NA,NA,NA,NA,NA,0.115065243179122,0.0875995449374289,0.208333333333333
"cal000113",NA,NA,NA,0.0939597315436242,0.0304487179487179,NA,NA,NA,NA,NA
"cal000023",NA,NA,NA,NA,NA,0.443153526970954,0.286223277909739,0.275125628140704,0.319872476089267,0
"cal000003",NA,0.195121951219512,0.204134366925065,0.112869198312236,0.139328063241107,0.127868852459016,0.142997061704212,0.420042643923241,0.408214063472309,0.208333333333333
"cal000002",NA,NA,NA,NA,NA,NA,NA,0.319587628865979,0.223539373412362,0.136363636363636
"cal000012",NA,NA,NA,NA,NA,NA,NA,0.0989010989010989,0.238046795523906,0.0416666666666667
"cal000135",NA,NA,NA,NA,NA,0.157728706624606,0.175471698113208,NA,NA,NA
"cal000027",NA,NA,NA,NA,NA,NA,NA,0.254545454545455,0.381937911571025,0
"cal000125",NA,NA,NA,NA,NA,NA,NA,0.241206030150754,NA,NA
"cal000085",0.401574803149606,0.32092004381161,0.283564814814815,0.288393903868699,0.306561085972851,NA,NA,NA,NA,NA
"cal000008",NA,NA,NA,0.134831460674157,0.148743718592965,0.135135135135135,0.120545073375262,0.392828685258964,0.365635738831615,0.208333333333333
"cal000469",0.456375838926175,0.309278350515464,0.294236602628918,NA,NA,NA,NA,NA,NA,NA
"cal000087",0.289772727272727,0.284705882352941,0.265734265734266,0.281138790035587,0.308169596690796,0.297297297297297,0.313929313929314,NA,NA,NA
"cal000020",NA,NA,NA,NA,NA,0.191339375629406,0.206896551724138,NA,NA,NA
"cal000039",NA,NA,NA,NA,NA,0.404657933042213,0.416017009213324,0.382352941176471,0.199661590524535,0.208333333333333
"cal000511",0.472222222222222,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cal000004",NA,NA,NA,NA,NA,NA,NA,0.281987577639752,0.395711500974659,0
"cal000010",NA,NA,NA,0.127835051546392,0.177007299270073,0.20925341745531,0.215579710144928,0.378355704697987,0.398117014122394,0.208333333333333
"cal000505",0.507788161993769,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cal000531",0.272727272727273,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cal000034",NA,NA,NA,0.410293066476054,0.4353507565337,0.158836689038031,0.171206225680934,0.19730010384216,0.236727589208007,0.208333333333333
"cal000327",0.444852941176471,0.13824419778002,0.155405405405405,0.0888888888888889,0.108163265306122,NA,NA,NA,NA,NA
"cal000466",0.498507462686567,0.16650987770461,0.433787128712871,NA,NA,NA,NA,NA,NA,NA
"cal000486",0.382978723404255,0.343845371312309,0.30379746835443,NA,NA,NA,NA,NA,NA,NA
"cal000041",NA,NA,NA,NA,0.307385229540918,0.294181034482759,0.423243712055507,0.190909090909091,NA,NA
"cal000102",0.367768595041322,0.352880658436214,0.28150406504065,0.507352941176471,0.444691907943578,0.328042328042328,0.337539432176656,NA,NA,NA
