"Senator1","Senator2","Weight2017","Weight2016","Weight2015","Weight2014","Weight2013","Weight2012","Weight2011","Weight2010","Weight2009","Weight2008"
"cal000033","cal000017",NA,NA,NA,NA,NA,NA,NA,0.982312925170068,0.977777777777778,1
"cal000033","cal000013",NA,NA,NA,NA,NA,NA,NA,0.693198263386397,0.606100795755968,NA
"cal000033","cal000015",NA,NA,NA,NA,NA,NA,NA,0.655807365439093,0.634686346863469,0.782608695652174
"cal000033","cal000049",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cal000033","cal000025",NA,NA,NA,NA,NA,NA,NA,0.595782073813708,0.574288724973656,0.782608695652174
"cal000033","cal000170",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cal000033","cal000036",NA,NA,NA,NA,NA,NA,NA,0.946554149085795,0.969887076537014,1
"cal000033","cal000035",NA,NA,NA,NA,NA,NA,NA,0.954896907216495,0.962785114045618,1
"cal000033","cal000514",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cal000033","cal000007",NA,NA,NA,NA,NA,NA,NA,0.988173455978975,0.965432098765432,1
"cal000033","cal000024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cal000033","cal000521",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cal000033","cal000021",NA,NA,NA,NA,NA,NA,NA,0.978102189781022,0.983402489626556,NA
"cal000033","cal000118",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cal000033","cal000130",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cal000033","cal000482",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cal000033","cal000001",NA,NA,NA,NA,NA,NA,NA,0.769230769230769,0.599763872491145,0.782608695652174
"cal000033","cal000501",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cal000033","cal000030",NA,NA,NA,NA,NA,NA,NA,0.988578680203046,0.988623435722412,NA
"cal000033","cal000141",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cal000033","cal000062",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cal000033","cal000133",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cal000033","cal000080",NA,NA,NA,NA,NA,NA,NA,0.989974937343358,0.989702517162471,1
"cal000033","cal000005",NA,NA,NA,NA,NA,NA,NA,0.979434447300771,0.96689497716895,1
"cal000033","cal000112",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cal000033","cal000038",NA,NA,NA,NA,NA,NA,NA,0.974612129760226,0.980848153214774,1
"cal000033","cal000113",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cal000033","cal000023",NA,NA,NA,NA,NA,NA,NA,0.644475920679887,0.59727385377943,0.818181818181818
"cal000033","cal000003",NA,NA,NA,NA,NA,NA,NA,0.981912144702842,0.977683315621679,1
"cal000033","cal000002",NA,NA,NA,NA,NA,NA,NA,0.983333333333333,0.963163596966414,1
"cal000033","cal000012",NA,NA,NA,NA,NA,NA,NA,0.9625,0.853276353276353,0.739130434782609
"cal000033","cal000135",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cal000033","cal000027",NA,NA,NA,NA,NA,NA,NA,0.660493827160494,0.554761904761905,0.782608695652174
"cal000033","cal000125",NA,NA,NA,NA,NA,NA,NA,0.636363636363636,NA,NA
"cal000033","cal000085",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cal000033","cal000008",NA,NA,NA,NA,NA,NA,NA,0.952745849297573,0.930851063829787,0.826086956521739
"cal000033","cal000469",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cal000033","cal000087",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cal000033","cal000020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cal000033","cal000039",NA,NA,NA,NA,NA,NA,NA,0.991440798858773,0.987598647125141,1
"cal000033","cal000511",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cal000033","cal000004",NA,NA,NA,NA,NA,NA,NA,0.687797147385103,0.554726368159204,0.782608695652174
"cal000033","cal000010",NA,NA,NA,NA,NA,NA,NA,0.976356050069541,0.973997833152763,1
"cal000033","cal000505",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cal000033","cal000531",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cal000033","cal000034",NA,NA,NA,NA,NA,NA,NA,0.982521847690387,0.992196209587514,1
"cal000033","cal000327",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cal000033","cal000466",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cal000033","cal000486",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cal000033","cal000041",NA,NA,NA,NA,NA,NA,NA,0.74169741697417,NA,NA
"cal000033","cal000102",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cal000033","cal000161",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cal000033","cal000169",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cal000033","cal000065",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cal000033","cal000018",NA,NA,NA,NA,NA,NA,NA,0.982872200263505,0.989411764705882,1
"cal000033","cal000037",NA,NA,NA,NA,NA,NA,NA,0.88036410923277,0.877906976744186,0.739130434782609
"cal000033","cal000031",NA,NA,NA,NA,NA,NA,NA,0.987886944818304,0.987745098039216,1
"cal000033","cal000510",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cal000033","cal000494",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cal000033","cal000072",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cal000033","cal000011",NA,NA,NA,NA,NA,NA,NA,0.695915279878971,0.652862362971985,0.782608695652174
"cal000033","cal000044",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cal000033","cal000116",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cal000033","cal000016",NA,NA,NA,NA,NA,NA,NA,0.9875173370319,0.983833718244804,1
"cal000033","cal000475",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cal000033","cal000077",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cal000033","cal000512",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cal000033","cal000128",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cal000033","cal000083",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cal000033","cal000155",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cal000033","cal000426",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cal000033","cal000107",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cal000033","cal000006",NA,NA,NA,NA,NA,NA,NA,0.994444444444444,0.993015133876601,1
"cal000033","cal000029",NA,NA,NA,NA,NA,NA,NA,NA,0.623361144219309,0.782608695652174
"cal000033","cal000444",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cal000033","cal000026",NA,NA,NA,NA,NA,NA,NA,0.716566866267465,0.673396674584323,0.782608695652174
"cal000033","cal000028",NA,NA,NA,NA,NA,NA,NA,0.680209698558322,0.658013544018059,NA
"cal000033","cal000103",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cal000033","cal000057",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cal000033","cal000091",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cal000033","cal000149",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cal000033","cal000447",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
