description,date,Ruggerio,Lynch Prata,Mr. President,Goldin,Satchell,Nesselbush,Picard,Calkin,Archambault,Cote,Kettle,Cool Rumsey,Raptakis,Seveney,Crowley,Algiere,Jabour,Da Ponte,Pagliarini,Gallo,Madam President,Coyne,Morgan,Metts,Sosnowski,Gee,Lynch,O'Neill,Doyle,Goodwin,Ciccone,Paiva Weed,Conley,Hodgson,Lombardo,Felag,Walaska,Pearson,Paolino,Pichardo,Sheehan,Fogarty,Miller,DiPalma,McCaffrey,Quezada,Bates,Ottiano,Lombardi
NEW BUSINESSSen.LOMBARDI        2014-S 2004SOLEMNIZATION OF MARRIAGESIMMEDIATE CONSIDERATIONPASSAGE,WEDNESDAY/ JANUARY 08/ 20144:28:08 PM,Y,N/A,N/A,Y,Y,NV,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y
NEW BUSINESSSen. SOSNOWSKI       2014-S 2046Relating to Motor andOther Vehicles - Retail Saleof GasolineIMMEDIATE CONSIDERATIONPASSAGE,TUESDAY/ JANUARY 14/ 20144:21:04 PM,NV,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,NV,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y
CONSENT CALENDARADOPTION,TUESDAY/ JANUARY 14/ 20144:22:56 PM,NV,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,NV,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y
NEW BUSINESSRep. HANDY          2014-H 7060Relating to Motor andOther Vehicles - Retail Saleof GasolineIMMEDIATE CONSIDERATIONPASSAGE in CONCURRENCE,WEDNESDAY/ JANUARY 15/ 20146:32:27 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,NV,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y
NEW BUSINESSSen. SATCHELL        2014-S 2126Approving the Issuance of BondsTown of West WarwickIMMEDIATE CONSIDERATIONPASSAGE,WEDNESDAY/ JANUARY 22/ 20144:24:34 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,NV,N/A,Y,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,NV,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y
CONSENT CALENDARADOPTION,WEDNESDAY/ JANUARY 22/ 20144:28:05 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,NV,N/A,Y,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,NV,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y
CONSENT CALENDARADOPTION,THURSDAY/ JANUARY 23/ 20144:21:09 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,NV,N/A,Y,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y
CALENDARITEM 1              2014-S 2011Sheehan          COMMERCESTATE AFFAIRS AND GOVERNMENT -PASSAGERI ECONOMIC DEVELOPMENT CORP.,THURSDAY/ JANUARY 23/ 20144:23:55 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,NV,N/A,Y,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y
CONSENT CALENDARADOPTION,WEDNESDAY/ JANUARY 29/ 20144:25:18 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,NV,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y
NEW BUSINESSSen. DiPALMA         2014-S 2172An Act Relating toSolemnization of MarriagesIMMEDIATE CONSIDERATIONPASSAGE,THURSDAY/ JANUARY 30/ 20144:31:18 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,NV,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y
