"Senator1","Senator2","Weight2017","Weight2015","Weight2016","Weight2014","Weight2013","Weight2012","Weight2011"
"fll000041","fll000160",NA,NA,NA,NA,NA,NA,NA
"fll000041","fll000158",NA,NA,NA,NA,NA,NA,NA
"fll000041","fll000267",NA,NA,NA,NA,NA,NA,NA
"fll000041","fll000481",NA,NA,NA,NA,NA,NA,NA
"fll000041","fll000414",NA,NA,NA,NA,NA,NA,NA
"fll000041","fll000037",NA,0.974358974358974,0.962365591397849,0.981366459627329,0.954081632653061,NA,NA
"fll000041","fll000332",NA,NA,NA,NA,NA,NA,NA
"fll000041","fll000054",NA,0.94672131147541,0.902173913043478,0.9125,0.923857868020305,NA,NA
"fll000041","fll000434",NA,NA,NA,NA,NA,NA,NA
"fll000041","fll000107",NA,NA,NA,NA,NA,NA,NA
"fll000041","fll000116",NA,NA,NA,NA,NA,NA,NA
"fll000041","fll000045",NA,NA,NA,NA,NA,NA,NA
"fll000041","fll000209",NA,NA,NA,NA,NA,NA,NA
"fll000041","fll000056",NA,NA,NA,NA,NA,NA,NA
"fll000041","fll000030",NA,NA,NA,NA,NA,NA,NA
"fll000041","fll000152",NA,NA,NA,NA,NA,NA,NA
"fll000041","fll000482",NA,NA,NA,NA,NA,NA,NA
"fll000041","fll000458",NA,NA,NA,NA,NA,NA,NA
"fll000041","fll000133",NA,NA,NA,NA,NA,NA,NA
"fll000041","fll000015",NA,0.963855421686747,0.952702702702703,0.934640522875817,0.931216931216931,NA,NA
"fll000041","fll000075",NA,NA,NA,NA,NA,NA,NA
"fll000041","fll000127",NA,NA,NA,NA,NA,NA,NA
"fll000041","fll000119",NA,NA,NA,NA,NA,NA,NA
"fll000041","fll000025",NA,0.981191222570533,0.950704225352113,0.981012658227848,0.956756756756757,NA,NA
"fll000041","fll000199",NA,0.966789667896679,0.936936936936937,0.9375,0.928934010152284,NA,NA
"fll000041","fll000011",NA,NA,NA,NA,NA,NA,NA
"fll000041","fll000282",NA,NA,NA,NA,NA,NA,NA
"fll000041","fll000083",NA,NA,NA,NA,NA,NA,NA
"fll000041","fll000032",NA,0.962121212121212,0.959183673469388,0.981481481481482,0.969230769230769,NA,NA
"fll000041","fll000014",NA,0.977777777777778,0.951048951048951,0.942675159235669,0.907216494845361,NA,NA
"fll000041","fll000006",NA,0.976878612716763,0.963414634146341,0.993827160493827,0.954314720812183,NA,NA
"fll000041","fll000129",NA,NA,NA,NA,NA,NA,NA
"fll000041","fll000295",NA,NA,NA,NA,NA,NA,NA
"fll000041","fll000257",NA,NA,NA,NA,NA,NA,NA
"fll000041","fll000500",NA,NA,NA,NA,NA,NA,NA
"fll000041","fll000234",NA,NA,NA,NA,NA,NA,NA
"fll000041","fll000478",NA,NA,NA,NA,NA,NA,NA
"fll000041","fll000260",NA,NA,NA,NA,NA,NA,NA
"fll000041","fll000060",NA,NA,NA,NA,NA,NA,NA
"fll000041","fll000106",NA,NA,NA,NA,NA,NA,NA
"fll000041","fll000001",NA,NA,NA,NA,NA,NA,NA
"fll000041","fll000040",NA,NA,NA,NA,NA,NA,NA
"fll000041","fll000009",NA,0.960264900662252,0.946666666666667,0.939189189189189,0.952879581151832,NA,NA
"fll000041","fll000035",NA,NA,NA,NA,NA,NA,NA
"fll000041","fll000114",NA,NA,NA,NA,NA,NA,NA
"fll000041","fll000084",NA,NA,NA,NA,NA,NA,NA
"fll000041","fll000112",NA,NA,NA,NA,NA,NA,NA
"fll000041","fll000086",NA,0.944723618090452,0.941176470588235,0.938775510204082,0.934343434343434,NA,NA
"fll000041","fll000043",NA,NA,NA,NA,NA,NA,NA
"fll000041","fll000333",NA,NA,NA,NA,NA,NA,NA
"fll000041","fll000143",NA,0.931372549019608,0.936329588014981,0.930379746835443,0.93298969072165,NA,NA
"fll000041","fll000002",NA,0.982758620689655,0.952054794520548,0.934306569343066,0.929347826086957,NA,NA
"fll000041","fll000141",NA,0.984375,0.959302325581395,0.969325153374233,0.964467005076142,NA,NA
"fll000041","fll000138",NA,NA,NA,NA,NA,NA,NA
