"","leg_id","name"
"1","mtl000001","Arthun, Ron"
"2","mtl000014","Gallus, Steven"
"3","mtl000026","Lewis, Dave"
"4","mtl000040","Tropila, Mitch"
"5","mtl000015","Gillan, Kim"
"6","mtl000027","Moore, Frederick (Eric)"
"7","mtl000041","Tutvedt, Bruce"
"8","mtl000016","Hamlett, Bradley"
"9","mtl000028","Moss, Lynda"
"10","mtl000042","Van Dyk, Kendall"
"11","mtl000004","Barrett, Debby"
"12","mtl000017","Hawks, Bob"
"13","mtl000029","Mowbray, Carmine"
"14","mtl000043","Vincent, Chas"
"15","mtl000005","Blewett, Anders"
"16","mtl000018","Hinkle, Greg"
"17","mtl000030","Murphy, Terry"
"18","mtl000044","Vuckovich, Gene"
"19","mtl000006","Branae, Gary"
"20","mtl000039","Hutton, Rowlie"
"21","mtl000031","Olson, Alan"
"22","mtl000045","Walker, Edward"
"23","mtl000007","Brenden, John"
"24","mtl000019","Jackson, Verdell"
"25","mtl000032","Peterson, Jim"
"26","mtl000046","Wanzenried, David"
"27","mtl000008","Brown, Taylor"
"28","mtl000020","Jent, Larry"
"29","mtl000033","Priest, Jason"
"30","mtl000047","Williams, Carol"
"31","mtl000009","Buttrey, Edward"
"32","mtl000021","Jones, Llew"
"33","mtl000034","Ripley, Rick"
"34","mtl000048","Windy Boy, Jonathan"
"35","mtl000010","Caferro, Mary"
"36","mtl000022","Kaufmann, Christine"
"37","mtl000035","Shockley, Jim"
"38","mtl000011","Erickson, Ron"
"39","mtl000023","Keane, Jim"
"40","mtl000036","Sonju, Jon"
"41","mtl000050","Zinke, Ryan"
"42","mtl000012","Essmann, Jeff"
"43","mtl000024","Lake, Bob"
"44","mtl000037","Steinbeisser, Donald"
"45","mtl000013","Facey, Tom"
"46","mtl000025","Larsen, Cliff"
"47","mtl000038","Stewart-Peregoy, Sharon"
"48","mtl000003","Balyeat, Joe"
"49","mtl000049","Wittich, Art"
"50","mtl000002","Augare, Shannon"
"966","","Brueggeman, John"
"1357","mtl000037","Steinbeisser, Donald J."
"2015","mtl000046","Wanzenried, David E."
"6222","mtl000027","Moore, Frederic ""Eric"""
"7329","mtl000027","Moore, Frederick ""Eric"""
"33685","mtl000003"," Balyeat, Joe"
"33686","mtl000004"," Barrett, Debby"
"33687","mtl000007"," Brenden, John"
"33688","mtl000013"," Facey, Tom"
"33689","mtl000014"," Gallus, Steven"
"33690","mtl000018"," Hinkle, Greg"
"33691","mtl000020"," Jent, Larry"
"33692","mtl000035"," Shockley, Jim"
"33693","mtl000049"," Wittich, Art"
"63400","mtl000002"," Augare, Shannon"
"63401","mtl000009"," Buttrey, Edward"
"63403","mtl000028"," Moss, Lynda"
"63404","mtl000031"," Olson, Alan"
"63405","mtl000036"," Sonju, Jon"
"63406","mtl000044"," Vuckovich, Gene"
"63520","mtl000001"," Arthun, Ron"
"63521","mtl000005"," Blewett, Anders"
"63523","mtl000021"," Jones, Llew"
"63524","mtl000023"," Keane, Jim"
"63525","mtl000029"," Mowbray, Carmine"
"63526","mtl000041"," Tutvedt, Bruce"
"63528","mtl000046"," Wanzenried, David E."
"66005","mtl000006"," Branae, Gary"
"66006","mtl000012"," Essmann, Jeff"
"66007","mtl000015"," Gillan, Kim"
"66008","mtl000022"," Kaufmann, Christine"
"66009","mtl000024"," Lake, Bob"
"66010","mtl000032"," Peterson, Jim"
"66012","mtl000043"," Vincent, Chas"
"66014","mtl000011"," Erickson, Ron"
"112443","mtl000008"," Brown, Taylor"
"112446","mtl000026"," Lewis, Dave"
"112449","mtl000034"," Ripley, Rick"
"112452","mtl000047"," Williams, Carol"
"112454","mtl000017"," Hawks, Bob"
"301112","mtl000052","Arntzen, Elsie"
"301115","mtl000171","Thomas, Fred"
"301127","mtl000054","Barrett, Dick"
"301129","mtl000121","Phillips, Mike"
"301133","mtl000163","Jergeson, Greg"
