"Senator","FirstDate","LastDate"
"Ruggerio",2014-01-08,2017-04-25
"Prata",2016-01-06,2017-04-25
"Goldin",2014-01-08,2017-04-25
"Satchell",2014-01-08,2017-04-25
"Nesselbush",2014-01-14,2017-04-25
"Picard",2014-01-08,2017-04-25
"Calkin",2017-01-03,2017-04-25
"Archambault",2014-01-08,2017-04-25
"Cote",2014-01-08,2017-04-25
"Kettle",2014-01-08,2017-04-25
"Rumsey",2014-01-08,2014-06-30
"Raptakis",2014-01-08,2017-04-25
"Seveney",2017-01-03,2017-04-25
"Crowley",2014-01-08,2017-04-25
"Algiere",2014-01-08,2017-04-25
"Jabour",2014-01-08,2017-04-25
"Ponte",2014-01-08,2017-04-11
"Pagliarini",2016-01-20,2016-06-18
"Gallo",2014-01-08,2017-03-15
"Coyne",2015-01-06,2017-04-25
"Morgan",2015-01-06,2017-04-11
"Metts",2014-01-08,2017-04-25
"Sosnowski",2014-01-08,2017-04-25
"Gee",2015-01-06,2017-04-25
"Lynch",2014-01-08,2015-06-25
"Neill",2014-01-08,2016-06-17
"Doyle",2014-01-08,2017-04-25
"Goodwin",2014-01-08,2017-04-25
"Ciccone",2014-01-08,2017-04-11
"Weed",2014-01-08,2017-03-30
"Conley",2014-01-08,2017-04-25
"Hodgson",2014-01-08,2014-06-30
"Lombardo",2014-01-08,2017-04-25
"Felag",2014-01-08,2017-04-25
"Walaska",2014-01-08,2016-06-18
"Pearson",2014-01-08,2017-04-25
"Paolino",2017-01-03,2017-04-25
"Pichardo",2014-01-08,2016-06-18
"Sheehan",2014-01-08,2017-04-25
"Fogarty",2014-01-08,2017-04-25
"Miller",2014-01-08,2017-04-25
"DiPalma",2014-01-08,2017-04-25
"McCaffrey",2014-01-08,2017-04-25
"Quezada",2017-01-03,2017-04-25
"Bates",2014-01-08,2014-06-30
"Ottiano",2014-01-08,2015-06-25
"Lombardi",2014-01-08,2017-04-25
