"","VotesAgainst2017","VotesAgainst2015","VotesAgainst2013","VotesAgainst2011"
"mtl000016",NA,0.200417536534447,0.157461809635723,0.245754245754246
"mtl000042",NA,NA,0.277777777777778,0.371428571428571
"mtl000070",NA,0.278099652375435,0.265046296296296,NA
"mtl000163",NA,NA,0.234393404004711,NA
"mtl000045",NA,NA,0.222354340071344,0.226130653266332
"mtl000050",NA,NA,NA,0.189274447949527
"mtl000363",0.186298076923077,NA,NA,NA
"mtl000010",0.258103241296519,0.295508274231678,0.238095238095238,0.33197139938713
"mtl000121",0.24,0.285400658616905,0.269090909090909,NA
"mtl000031",NA,NA,0.123957091775924,0.14957264957265
"mtl000018",NA,NA,NA,0.284035259549461
"mtl000039",NA,NA,NA,0.169578622816033
"mtl000305",0.290012033694344,0.286498353457739,NA,NA
"mtl000222",0.292623941958888,0.315677966101695,NA,NA
"mtl000024",NA,NA,NA,0.189134808853119
"mtl000248",0.256083429895713,0.254002134471718,NA,NA
"mtl000131",0.279582366589327,0.265193370165746,NA,NA
"mtl000007",NA,0.260215053763441,0.254484304932735,0.230535894843276
"mtl000103",0.282840236686391,0.311493018259936,0.266099635479951,NA
"mtl000022",NA,0.333690987124464,0.31095406360424,0.419289340101523
"mtl000034",NA,0.219978746014878,0.204624277456647,0.172273190621814
"mtl000041",NA,0.146799116997792,0.163529411764706,0.206084396467125
"mtl000060",0.186503067484663,0.232948583420776,NA,NA
"mtl000025",NA,0.240437158469945,0.260619977037887,0.355196770938446
"mtl000026",NA,NA,0.124555160142349,0.131198347107438
"mtl000409",0.300584795321637,NA,NA,NA
"mtl000028",NA,NA,NA,0.371031746031746
"mtl000394",0.10012836970475,NA,NA,NA
"mtl000012",NA,NA,0.177458033573141,0.200795228628231
"mtl000044",0.252358490566038,0.215351812366738,0.223792697290931,0.268924302788845
"mtl000023",NA,0.257528556593977,0.233091787439614,0.27906976744186
"mtl000009",0.127250900360144,0.130718954248366,0.117159763313609,0.153217568947906
"mtl000002",NA,NA,0.267399267399267,0.326592517694641
"mtl000021",0.0792682926829268,0.136017410228509,0.0962441314553991,0.145985401459854
"mtl000013",0.287878787878788,0.287974683544304,0.276422764227642,0.334657398212512
"mtl000369",0.159855769230769,NA,NA,NA
"mtl000408",0.156553398058252,NA,NA,NA
"mtl000143",0.23590333716916,0.28480340063762,NA,NA
"mtl000172",0.204600484261501,0.236951983298539,0.190647482014388,NA
"mtl000133",0.209032258064516,0.234883720930233,0.223048327137546,NA
"mtl000371",0.313588850174216,NA,NA,NA
"mtl000158",NA,NA,0.212571428571429,NA
"mtl000054",0.263537906137184,0.277348066298343,0.258724428399519,NA
