"Senator1","Senator2","Weight2017","Weight2015","Weight2013","Weight2011"
"mtl000408","mtl000163",NA,NA,NA,NA
"mtl000408","mtl000131",0.689567430025445,NA,NA,NA
"mtl000408","mtl000016",NA,NA,NA,NA
"mtl000408","mtl000043",0.874835309617918,NA,NA,NA
"mtl000408","mtl000248",0.843388960205392,NA,NA,NA
"mtl000408","mtl000066",0.883183568677792,NA,NA,NA
"mtl000408","mtl000012",NA,NA,NA,NA
"mtl000408","mtl000213",0.634146341463415,NA,NA,NA
"mtl000408","mtl000158",NA,NA,NA,NA
"mtl000408","mtl000025",NA,NA,NA,NA
"mtl000408","mtl000037",NA,NA,NA,NA
"mtl000408","mtl000363",0.888751545117429,NA,NA,NA
"mtl000408","mtl000006",NA,NA,NA,NA
"mtl000408","mtl000013",0.685971685971686,NA,NA,NA
"mtl000408","mtl000041",NA,NA,NA,NA
"mtl000408","mtl000409",0.667535853976532,NA,NA,NA
"mtl000408","mtl000023",NA,NA,NA,NA
"mtl000408","mtl000030",NA,NA,NA,NA
"mtl000408","mtl000387",0.848523748395379,NA,NA,NA
"mtl000408","mtl000024",NA,NA,NA,NA
"mtl000408","mtl000014",NA,NA,NA,NA
"mtl000408","mtl000369",0.890767230169051,NA,NA,NA
"mtl000408","mtl000033",NA,NA,NA,NA
"mtl000408","mtl000247",NA,NA,NA,NA
"mtl000408","mtl000007",NA,NA,NA,NA
"mtl000408","mtl000031",NA,NA,NA,NA
"mtl000408","mtl000383",0.885057471264368,NA,NA,NA
"mtl000408","mtl000002",NA,NA,NA,NA
"mtl000408","mtl000042",NA,NA,NA,NA
"mtl000408","mtl000004",NA,NA,NA,NA
"mtl000408","mtl000159",0.876,NA,NA,NA
"mtl000408","mtl000103",0.668806161745828,NA,NA,NA
"mtl000408","mtl000050",NA,NA,NA,NA
"mtl000408","mtl000001",NA,NA,NA,NA
"mtl000408","mtl000026",NA,NA,NA,NA
"mtl000408","mtl000029",NA,NA,NA,NA
"mtl000408","mtl000054",0.675224646983312,NA,NA,NA
"mtl000408","mtl000038",NA,NA,NA,NA
"mtl000408","mtl000222",0.675572519083969,NA,NA,NA
"mtl000408","mtl000118",0.912658227848101,NA,NA,NA
"mtl000408","mtl000021",0.891925465838509,NA,NA,NA
"mtl000408","mtl000034",NA,NA,NA,NA
"mtl000408","mtl000009",0.884565499351492,NA,NA,NA
"mtl000408","mtl000028",NA,NA,NA,NA
"mtl000408","mtl000017",NA,NA,NA,NA
"mtl000408","mtl000070",NA,NA,NA,NA
"mtl000408","mtl000035",NA,NA,NA,NA
"mtl000408","mtl000275",0.714104193138501,NA,NA,NA
"mtl000408","mtl000039",NA,NA,NA,NA
"mtl000408","mtl000020",NA,NA,NA,NA
"mtl000408","mtl000161",0.848441926345609,NA,NA,NA
"mtl000408","mtl000051",0.880745341614907,NA,NA,NA
"mtl000408","mtl000008",NA,NA,NA,NA
"mtl000408","mtl000129",NA,NA,NA,NA
"mtl000408","mtl000015",NA,NA,NA,NA
"mtl000408","mtl000305",0.648267008985879,NA,NA,NA
"mtl000408","mtl000172",0.903919089759798,NA,NA,NA
"mtl000408","mtl000040",NA,NA,NA,NA
"mtl000408","mtl000048",NA,NA,NA,NA
"mtl000408","mtl000171",0.903014416775885,NA,NA,NA
"mtl000408","mtl000011",NA,NA,NA,NA
"mtl000408","mtl000289",0.867268041237113,NA,NA,NA
"mtl000408","mtl000044",0.717391304347826,NA,NA,NA
"mtl000408","mtl000032",NA,NA,NA,NA
"mtl000408","mtl000280",0.877792378449409,NA,NA,NA
"mtl000408","mtl000394",0.858793324775353,NA,NA,NA
"mtl000408","mtl000107",0.70625,NA,NA,NA
"mtl000408","mtl000143",0.881899871630295,NA,NA,NA
"mtl000408","mtl000060",0.893561103810775,NA,NA,NA
"mtl000408","mtl000121",0.713548387096774,NA,NA,NA
"mtl000408","mtl000137",0.873291925465839,NA,NA,NA
"mtl000408","mtl000090",0.866581956797967,NA,NA,NA
"mtl000408","mtl000354",0.878504672897196,NA,NA,NA
"mtl000408","mtl000359",0.875481386392811,NA,NA,NA
"mtl000408","mtl000089",0.876747141041931,NA,NA,NA
"mtl000408","mtl000019",NA,NA,NA,NA
"mtl000408","mtl000047",NA,NA,NA,NA
"mtl000408","mtl000005",NA,NA,NA,NA
"mtl000408","mtl000133",0.704516129032258,NA,NA,NA
"mtl000408","mtl000049",NA,NA,NA,NA
"mtl000408","mtl000402",0.893453145057766,NA,NA,NA
"mtl000408","mtl000046",NA,NA,NA,NA
"mtl000408","mtl000381",0.891891891891892,NA,NA,NA
"mtl000408","mtl000027",0.898039215686275,NA,NA,NA
"mtl000408","mtl000036",NA,NA,NA,NA
"mtl000408","mtl000045",NA,NA,NA,NA
"mtl000408","mtl000385",0.871428571428571,NA,NA,NA
"mtl000408","mtl000010",0.718518518518519,NA,NA,NA
"mtl000408","mtl000371",0.676883780332056,NA,NA,NA
"mtl000408","mtl000142",NA,NA,NA,NA
"mtl000408","mtl000168",0.847240051347882,NA,NA,NA
"mtl000408","mtl000022",NA,NA,NA,NA
"mtl000408","mtl000018",NA,NA,NA,NA
"mtl000408","mtl000052",NA,NA,NA,NA
"mtl000408","mtl000003",NA,NA,NA,NA
"mtl000163","mtl000131",NA,NA,NA,NA
"mtl000163","mtl000016",NA,NA,0.880050505050505,NA
"mtl000163","mtl000043",NA,NA,0.662820512820513,NA
"mtl000163","mtl000248",NA,NA,NA,NA
"mtl000163","mtl000066",NA,NA,NA,NA
"mtl000163","mtl000012",NA,NA,0.677777777777778,NA
"mtl000163","mtl000213",NA,NA,NA,NA
"mtl000163","mtl000158",NA,NA,0.659090909090909,NA
"mtl000163","mtl000025",NA,NA,0.919053549190536,NA
"mtl000163","mtl000037",NA,NA,NA,NA
"mtl000163","mtl000363",NA,NA,NA,NA
"mtl000163","mtl000006",NA,NA,NA,NA
"mtl000163","mtl000013",NA,NA,0.909090909090909,NA
"mtl000163","mtl000041",NA,NA,0.798267326732673,NA
"mtl000163","mtl000409",NA,NA,NA,NA
"mtl000163","mtl000023",NA,NA,0.897567221510884,NA
"mtl000163","mtl000030",NA,NA,0.749690210656753,NA
"mtl000163","mtl000387",NA,NA,NA,NA
"mtl000163","mtl000024",NA,NA,NA,NA
"mtl000163","mtl000014",NA,NA,NA,NA
"mtl000163","mtl000369",NA,NA,NA,NA
"mtl000163","mtl000033",NA,NA,0.65474552957359,NA
"mtl000163","mtl000247",NA,NA,NA,NA
"mtl000163","mtl000007",NA,NA,0.646153846153846,NA
"mtl000163","mtl000031",NA,NA,0.772327044025157,NA
"mtl000163","mtl000383",NA,NA,NA,NA
"mtl000163","mtl000002",NA,NA,0.896414342629482,NA
"mtl000163","mtl000042",NA,NA,0.915189873417722,NA
"mtl000163","mtl000004",NA,NA,0.696969696969697,NA
"mtl000163","mtl000159",NA,NA,0.65530303030303,NA
"mtl000163","mtl000103",NA,NA,0.905897114178168,NA
"mtl000163","mtl000050",NA,NA,NA,NA
"mtl000163","mtl000001",NA,NA,0.767527675276753,NA
"mtl000163","mtl000026",NA,NA,0.746212121212121,NA
"mtl000163","mtl000029",NA,NA,NA,NA
"mtl000163","mtl000054",NA,NA,0.910891089108911,NA
"mtl000163","mtl000038",NA,NA,0.878787878787879,NA
"mtl000163","mtl000222",NA,NA,NA,NA
"mtl000163","mtl000118",NA,NA,NA,NA
"mtl000163","mtl000021",NA,NA,0.799751243781095,NA
"mtl000163","mtl000034",NA,NA,0.699745547073791,NA
"mtl000163","mtl000009",NA,NA,0.785353535353535,NA
"mtl000163","mtl000028",NA,NA,NA,NA
"mtl000163","mtl000017",NA,NA,NA,NA
"mtl000163","mtl000070",NA,NA,0.913151364764268,NA
"mtl000163","mtl000035",NA,NA,NA,NA
"mtl000163","mtl000275",NA,NA,NA,NA
"mtl000163","mtl000039",NA,NA,NA,NA
"mtl000163","mtl000020",NA,NA,0.903426791277259,NA
"mtl000163","mtl000161",NA,NA,0.664141414141414,NA
"mtl000163","mtl000051",NA,NA,NA,NA
"mtl000163","mtl000008",NA,NA,0.78030303030303,NA
"mtl000163","mtl000129",NA,NA,0.670454545454545,NA
"mtl000163","mtl000015",NA,NA,NA,NA
"mtl000163","mtl000305",NA,NA,NA,NA
"mtl000163","mtl000172",NA,NA,0.666666666666667,NA
"mtl000163","mtl000040",NA,NA,0.903225806451613,NA
"mtl000163","mtl000048",NA,NA,0.883691529709229,NA
"mtl000163","mtl000171",NA,NA,0.714285714285714,NA
"mtl000163","mtl000011",NA,NA,NA,NA
"mtl000163","mtl000289",NA,NA,NA,NA
"mtl000163","mtl000044",NA,NA,0.90530303030303,NA
"mtl000163","mtl000032",NA,NA,0.805031446540881,NA
"mtl000163","mtl000280",NA,NA,NA,NA
"mtl000163","mtl000394",NA,NA,NA,NA
"mtl000163","mtl000107",NA,NA,NA,NA
"mtl000163","mtl000143",NA,NA,NA,NA
"mtl000163","mtl000060",NA,NA,NA,NA
"mtl000163","mtl000121",NA,NA,0.897208121827411,NA
"mtl000163","mtl000137",NA,NA,NA,NA
"mtl000163","mtl000090",NA,NA,NA,NA
"mtl000163","mtl000354",NA,NA,NA,NA
"mtl000163","mtl000359",NA,NA,NA,NA
"mtl000163","mtl000089",NA,NA,NA,NA
"mtl000163","mtl000019",NA,NA,0.688279301745636,NA
"mtl000163","mtl000047",NA,NA,NA,NA
"mtl000163","mtl000005",NA,NA,0.893840104849279,NA
"mtl000163","mtl000133",NA,NA,0.912878787878788,NA
"mtl000163","mtl000049",NA,NA,0.584541062801932,NA
"mtl000163","mtl000402",NA,NA,NA,NA
"mtl000163","mtl000046",NA,NA,0.863013698630137,NA
"mtl000163","mtl000381",NA,NA,NA,NA
"mtl000163","mtl000027",NA,NA,0.685350318471338,NA
"mtl000163","mtl000036",NA,NA,0.657252888318357,NA
"mtl000163","mtl000045",NA,NA,0.659411011523688,NA
"mtl000163","mtl000385",NA,NA,NA,NA
"mtl000163","mtl000010",NA,NA,0.89010989010989,NA
"mtl000163","mtl000371",NA,NA,NA,NA
"mtl000163","mtl000142",NA,NA,0.66167290886392,NA
"mtl000163","mtl000168",NA,NA,0.592405063291139,NA
"mtl000163","mtl000022",NA,NA,0.881851400730816,NA
"mtl000163","mtl000018",NA,NA,NA,NA
"mtl000163","mtl000052",NA,NA,0.697456492637216,NA
"mtl000163","mtl000003",NA,NA,NA,NA
"mtl000131","mtl000016",NA,0.850299401197605,NA,NA
"mtl000131","mtl000043",0.666256157635468,0.642361111111111,NA,NA
"mtl000131","mtl000248",0.628605769230769,0.622554660529344,NA,NA
"mtl000131","mtl000066",0.757381258023107,0.752105896510229,NA,NA
"mtl000131","mtl000012",NA,NA,NA,NA
"mtl000131","mtl000213",0.913992297817715,0.898550724637681,NA,NA
"mtl000131","mtl000158",NA,NA,NA,NA
"mtl000131","mtl000025",NA,0.914691943127962,NA,NA
"mtl000131","mtl000037",NA,NA,NA,NA
"mtl000131","mtl000363",0.671623296158612,NA,NA,NA
"mtl000131","mtl000006",NA,NA,NA,NA
"mtl000131","mtl000013",0.93951093951094,0.931736526946108,NA,NA
"mtl000131","mtl000041",NA,0.754491017964072,NA,NA
"mtl000131","mtl000409",0.931198102016607,NA,NA,NA
"mtl000131","mtl000023",NA,0.845508982035928,NA,NA
"mtl000131","mtl000030",NA,NA,NA,NA
"mtl000131","mtl000387",0.587134502923977,NA,NA,NA
"mtl000131","mtl000024",NA,NA,NA,NA
"mtl000131","mtl000014",NA,NA,NA,NA
"mtl000131","mtl000369",0.714663143989432,NA,NA,NA
"mtl000131","mtl000033",NA,NA,NA,NA
"mtl000131","mtl000247",NA,0.952830188679245,NA,NA
"mtl000131","mtl000007",NA,0.62266500622665,NA,NA
"mtl000131","mtl000031",NA,NA,NA,NA
"mtl000131","mtl000383",0.763052208835341,NA,NA,NA
"mtl000131","mtl000002",NA,NA,NA,NA
"mtl000131","mtl000042",NA,NA,NA,NA
"mtl000131","mtl000004",NA,0.652068126520681,NA,NA
"mtl000131","mtl000159",0.634666666666667,0.617224880382775,NA,NA
"mtl000131","mtl000103",0.930680359435173,0.915976331360947,NA,NA
"mtl000131","mtl000050",NA,NA,NA,NA
"mtl000131","mtl000001",NA,NA,NA,NA
"mtl000131","mtl000026",NA,NA,NA,NA
"mtl000131","mtl000029",NA,NA,NA,NA
"mtl000131","mtl000054",0.949935815147625,0.930260047281324,NA,NA
"mtl000131","mtl000038",NA,0.906586826347305,NA,NA
"mtl000131","mtl000222",0.926315789473684,0.907878787878788,NA,NA
"mtl000131","mtl000118",0.68586387434555,NA,NA,NA
"mtl000131","mtl000021",0.754813863928113,0.744471744471744,NA,NA
"mtl000131","mtl000034",NA,0.674046740467405,NA,NA
"mtl000131","mtl000009",0.749670619235837,0.745742092457421,NA,NA
"mtl000131","mtl000028",NA,NA,NA,NA
"mtl000131","mtl000017",NA,NA,NA,NA
"mtl000131","mtl000070",NA,0.908176100628931,NA,NA
"mtl000131","mtl000035",NA,NA,NA,NA
"mtl000131","mtl000275",0.930354796320631,0.932598039215686,NA,NA
"mtl000131","mtl000039",NA,NA,NA,NA
"mtl000131","mtl000020",NA,NA,NA,NA
"mtl000131","mtl000161",0.606060606060606,0.617505995203837,NA,NA
"mtl000131","mtl000051",0.758664955070603,0.753293413173653,NA,NA
"mtl000131","mtl000008",NA,0.75688622754491,NA,NA
"mtl000131","mtl000129",NA,0.607185628742515,NA,NA
"mtl000131","mtl000015",NA,NA,NA,NA
"mtl000131","mtl000305",0.930680359435173,0.922155688622755,NA,NA
"mtl000131","mtl000172",0.635430038510911,0.639520958083832,NA,NA
"mtl000131","mtl000040",NA,NA,NA,NA
"mtl000131","mtl000048",NA,0.856968215158924,NA,NA
"mtl000131","mtl000171",0.712975098296199,0.689017341040462,NA,NA
"mtl000131","mtl000011",NA,NA,NA,NA
"mtl000131","mtl000289",0.628,0.655502392344498,NA,NA
"mtl000131","mtl000044",0.894805194805195,0.867065868263473,NA,NA
"mtl000131","mtl000032",NA,NA,NA,NA
"mtl000131","mtl000280",0.712530712530713,0.715419501133787,NA,NA
"mtl000131","mtl000394",0.735558408215661,NA,NA,NA
"mtl000131","mtl000107",0.956072351421189,0.929804372842348,NA,NA
"mtl000131","mtl000143",0.622593068035943,0.577514792899408,NA,NA
"mtl000131","mtl000060",0.64388961892247,0.632211538461538,NA,NA
"mtl000131","mtl000121",0.94392523364486,0.931956257594168,NA,NA
"mtl000131","mtl000137",0.607990012484395,0.586527293844367,NA,NA
"mtl000131","mtl000090",0.621827411167513,0.619447779111645,NA,NA
"mtl000131","mtl000354",0.767690253671562,NA,NA,NA
"mtl000131","mtl000359",0.765083440308087,NA,NA,NA
"mtl000131","mtl000089",0.749677419354839,0.743712574850299,NA,NA
"mtl000131","mtl000019",NA,NA,NA,NA
"mtl000131","mtl000047",NA,NA,NA,NA
"mtl000131","mtl000005",NA,NA,NA,NA
"mtl000131","mtl000133",0.92,0.895808383233533,NA,NA
"mtl000131","mtl000049",NA,NA,NA,NA
"mtl000131","mtl000402",0.646634615384615,NA,NA,NA
"mtl000131","mtl000046",NA,NA,NA,NA
"mtl000131","mtl000381",0.747747747747748,NA,NA,NA
"mtl000131","mtl000027",0.703267973856209,NA,NA,NA
"mtl000131","mtl000036",NA,NA,NA,NA
"mtl000131","mtl000045",NA,NA,NA,NA
"mtl000131","mtl000385",0.755844155844156,NA,NA,NA
"mtl000131","mtl000010",0.898389095415118,0.864450127877238,NA,NA
"mtl000131","mtl000371",0.891443167305236,NA,NA,NA
"mtl000131","mtl000142",NA,0.655006031363088,NA,NA
"mtl000131","mtl000168",0.598557692307692,0.558086560364465,NA,NA
"mtl000131","mtl000022",NA,0.886390532544379,NA,NA
"mtl000131","mtl000018",NA,NA,NA,NA
"mtl000131","mtl000052",NA,0.692033293697979,NA,NA
"mtl000131","mtl000003",NA,NA,NA,NA
"mtl000016","mtl000043",NA,0.69811320754717,0.750943396226415,0.666666666666667
"mtl000016","mtl000248",NA,0.695752009184845,NA,NA
