"","VotesAgainst2017","VotesAgainst2015","VotesAgainst2013","VotesAgainst2011"
"mtl000163",NA,NA,0.234393404004711,NA
"mtl000290",NA,0.186217008797654,NA,NA
"mtl000095",NA,NA,0.322404371584699,0.315533980582524
"mtl000074",NA,NA,NA,0.184410646387833
"mtl000229",0.284734133790738,0.176646706586826,NA,NA
"mtl000091",NA,0.362818590704648,0.219512195121951,0.286634460547504
"mtl000032",NA,NA,0.128386336866902,0.147670961347869
"mtl000196",NA,0.242792109256449,0.128014842300557,NA
"mtl000017",NA,NA,NA,0.314606741573034
"mtl000222",0.292623941958888,0.31885593220339,0.247582205029014,NA
"mtl000051",0.100478468899522,0.132478632478632,0.124756335282651,0.104631217838765
"mtl000097",NA,NA,NA,0.301109350237718
"mtl000015",NA,NA,NA,0.29045643153527
"mtl000112",NA,NA,NA,0.0785340314136126
"mtl000309",0.21630615640599,0.22575976845152,NA,NA
"mtl000312",0.116724738675958,0.145482388973966,NA,NA
"mtl000186",NA,NA,0.258780036968577,NA
"mtl000178",NA,NA,0.248587570621469,NA
"mtl000101",NA,NA,0.264814814814815,0.326860841423948
"mtl000197",NA,NA,0.140540540540541,NA
"mtl000171",0.087067861715749,0.177117711771177,0.163383545770568,NA
"mtl000119",NA,0.342688330871492,0.284046692607004,0.353225806451613
"mtl000036",NA,NA,0.199522102747909,0.209660842754368
"mtl000018",NA,NA,NA,0.284035259549461
"mtl000037",NA,NA,NA,0.207135777998018
"mtl000303",0.282229965156794,0.355283307810107,NA,NA
"mtl000001",NA,NA,0.143859649122807,0.172827172827173
"mtl000027",0.103267973856209,NA,0.220319634703196,0.182370820668693
"mtl000236",0.25981308411215,0.305647840531561,NA,NA
"mtl000380",0.303030303030303,NA,NA,NA
"mtl000111",NA,NA,NA,0.303370786516854
"mtl000110",NA,NA,0.184905660377358,0.237931034482759
"mtl000336",0.315091210613599,0.361516034985423,NA,NA
"mtl000394",0.10012836970475,NA,NA,NA
"mtl000404",0.153119092627599,NA,NA,NA
"mtl000189",NA,NA,0.16390423572744,NA
