"Senator1","Senator2","Agree","Disagree","weight"
"Ruggerio","Prata",747,4,0.994673768308921
"Ruggerio","Goldin",1704,19,0.988972721996518
"Ruggerio","Satchell",1708,18,0.989571263035921
"Ruggerio","Nesselbush",1630,13,0.992087644552648
"Ruggerio","Picard",1753,15,0.991515837104072
"Ruggerio","Calkin",36,2,0.947368421052632
"Ruggerio","Archambault",1793,4,0.997774067890929
"Ruggerio","Cote",1707,40,0.977103606182026
"Ruggerio","Kettle",1610,86,0.949292452830189
"Ruggerio","Rumsey",611,5,0.991883116883117
"Ruggerio","Raptakis",1542,44,0.972257250945776
"Ruggerio","Seveney",38,0,1
"Ruggerio","Crowley",1527,6,0.996086105675147
"Ruggerio","Algiere",1716,49,0.972237960339943
"Ruggerio","Jabour",1775,18,0.989960959286113
"Ruggerio","Ponte",1596,7,0.995633187772926
"Ruggerio","Pagliarini",571,146,0.796373779637378
"Ruggerio","Gallo",1731,9,0.994827586206897
"Ruggerio","Coyne",1127,4,0.996463306808134
"Ruggerio","Morgan",961,170,0.849690539345712
"Ruggerio","Metts",1756,22,0.987626546681665
"Ruggerio","Sosnowski",1756,4,0.997727272727273
"Ruggerio","Gee",1062,79,0.930762489044698
"Ruggerio","Lynch",1037,4,0.996157540826129
"Ruggerio","Neill",1473,136,0.915475450590429
"Ruggerio","Doyle",1506,5,0.99669093315685
"Ruggerio","Goodwin",1758,3,0.998296422487223
"Ruggerio","Ciccone",1218,5,0.99591169255928
"Ruggerio","Weed",1727,4,0.997689196995956
"Ruggerio","Conley",1772,7,0.996065205171445
"Ruggerio","Hodgson",621,16,0.974882260596546
"Ruggerio","Lombardo",1582,8,0.994968553459119
"Ruggerio","Felag",1761,15,0.991554054054054
"Ruggerio","Walaska",1632,10,0.993909866017052
"Ruggerio","Pearson",1702,10,0.994158878504673
"Ruggerio","Paolino",35,2,0.945945945945946
"Ruggerio","Pichardo",1586,12,0.992490613266583
"Ruggerio","Sheehan",1528,21,0.986442866365397
"Ruggerio","Fogarty",1719,10,0.994216310005784
"Ruggerio","Miller",1667,7,0.995818399044206
"Ruggerio","DiPalma",1692,11,0.993540810334703
"Ruggerio","McCaffrey",1655,7,0.995788206979543
"Ruggerio","Quezada",37,0,1
"Ruggerio","Bates",632,12,0.981366459627329
"Ruggerio","Ottiano",1012,7,0.993130520117762
"Ruggerio","Lombardi",1631,5,0.996943765281174
"Prata","Goldin",704,7,0.990154711673699
"Prata","Satchell",712,9,0.9875173370319
"Prata","Nesselbush",600,6,0.99009900990099
"Prata","Picard",736,8,0.989247311827957
"Prata","Calkin",38,2,0.95
"Prata","Archambault",748,4,0.99468085106383
"Prata","Cote",729,12,0.983805668016194
"Prata","Kettle",605,45,0.930769230769231
"Prata","Rumsey",0,0,NA
"Prata","Raptakis",586,24,0.960655737704918
"Prata","Seveney",40,0,1
"Prata","Crowley",614,6,0.990322580645161
"Prata","Algiere",697,46,0.938088829071332
"Prata","Jabour",739,10,0.986648865153538
"Prata","Ponte",711,3,0.995798319327731
"Prata","Pagliarini",574,141,0.802797202797203
"Prata","Gallo",725,4,0.994513031550069
"Prata","Coyne",736,6,0.991913746630728
"Prata","Morgan",607,138,0.814765100671141
"Prata","Metts",723,14,0.981004070556309
"Prata","Sosnowski",747,6,0.99203187250996
"Prata","Gee",691,61,0.918882978723404
"Prata","Lynch",0,0,NA
"Prata","Neill",476,98,0.829268292682927
"Prata","Doyle",604,4,0.993421052631579
"Prata","Goodwin",711,5,0.993016759776536
"Prata","Ciccone",707,6,0.991584852734923
"Prata","Weed",686,4,0.994202898550725
"Prata","Conley",736,3,0.995940460081191
"Prata","Hodgson",0,0,NA
"Prata","Lombardo",618,2,0.996774193548387
"Prata","Felag",735,11,0.985254691689008
"Prata","Walaska",624,5,0.992050874403816
"Prata","Pearson",723,5,0.993131868131868
"Prata","Paolino",37,2,0.948717948717949
"Prata","Pichardo",626,5,0.992076069730586
"Prata","Sheehan",680,15,0.97841726618705
"Prata","Fogarty",750,3,0.99601593625498
"Prata","Miller",653,3,0.995426829268293
"Prata","DiPalma",738,8,0.989276139410188
"Prata","McCaffrey",737,4,0.994601889338731
"Prata","Quezada",39,0,1
"Prata","Bates",0,0,NA
"Prata","Ottiano",0,0,NA
"Prata","Lombardi",593,0,1
"Goldin","Satchell",1691,21,0.987733644859813
"Goldin","Nesselbush",1616,20,0.987775061124694
"Goldin","Picard",1729,24,0.986309184255562
"Goldin","Calkin",34,2,0.944444444444444
"Goldin","Archambault",1763,18,0.989893318360472
"Goldin","Cote",1679,47,0.972769409038239
"Goldin","Kettle",1593,94,0.944279786603438
"Goldin","Rumsey",602,6,0.990131578947368
"Goldin","Raptakis",1517,54,0.965626989178867
"Goldin","Seveney",36,0,1
"Goldin","Crowley",1509,14,0.99080761654629
"Goldin","Algiere",1687,62,0.964551172098342
"Goldin","Jabour",1746,33,0.981450252951096
"Goldin","Ponte",1570,16,0.989911727616646
"Goldin","Pagliarini",534,145,0.786450662739323
"Goldin","Gallo",1697,16,0.990659661412726
"Goldin","Coyne",1117,6,0.994657168299199
"Goldin","Morgan",957,170,0.849157054125998
"Goldin","Metts",1724,25,0.985706117781589
"Goldin","Sosnowski",1733,14,0.991986262163709
"Goldin","Gee",1055,83,0.927065026362039
"Goldin","Lynch",1050,16,0.984990619136961
"Goldin","Neill",1457,142,0.91119449656035
"Goldin","Doyle",1463,11,0.992537313432836
"Goldin","Goodwin",1734,16,0.990857142857143
"Goldin","Ciccone",1214,10,0.991830065359477
"Goldin","Weed",1702,16,0.990686845168801
"Goldin","Conley",1743,18,0.989778534923339
"Goldin","Hodgson",601,27,0.957006369426752
"Goldin","Lombardo",1562,18,0.988607594936709
"Goldin","Felag",1725,29,0.983466362599772
"Goldin","Walaska",1613,21,0.987148102815178
"Goldin","Pearson",1673,23,0.986438679245283
"Goldin","Paolino",33,2,0.942857142857143
"Goldin","Pichardo",1563,13,0.991751269035533
"Goldin","Sheehan",1517,26,0.983149708360337
"Goldin","Fogarty",1694,19,0.988908347927612
"Goldin","Miller",1646,14,0.991566265060241
"Goldin","DiPalma",1671,22,0.987005316007088
"Goldin","McCaffrey",1638,12,0.992727272727273
"Goldin","Quezada",36,0,1
"Goldin","Bates",609,22,0.96513470681458
"Goldin","Ottiano",1030,14,0.986590038314176
"Goldin","Lombardi",1604,19,0.988293284041898
"Satchell","Nesselbush",1628,17,0.989665653495441
"Satchell","Picard",1759,19,0.989313835770529
"Satchell","Calkin",42,2,0.954545454545455
"Satchell","Archambault",1789,18,0.990038738240177
"Satchell","Cote",1710,42,0.976027397260274
"Satchell","Kettle",1629,81,0.952631578947368
"Satchell","Rumsey",614,6,0.990322580645161
"Satchell","Raptakis",1542,49,0.969201759899434
"Satchell","Seveney",44,0,1
"Satchell","Crowley",1556,14,0.991082802547771
"Satchell","Algiere",1727,48,0.972957746478873
"Satchell","Jabour",1776,28,0.984478935698448
"Satchell","Ponte",1614,11,0.993230769230769
"Satchell","Pagliarini",549,137,0.800291545189504
"Satchell","Gallo",1724,18,0.989667049368542
"Satchell","Coyne",1129,6,0.994713656387665
"Satchell","Morgan",986,153,0.865671641791045
"Satchell","Metts",1749,27,0.984797297297297
"Satchell","Sosnowski",1754,12,0.993204983012458
"Satchell","Gee",1080,68,0.940766550522648
"Satchell","Lynch",1061,11,0.989738805970149
"Satchell","Neill",1480,133,0.917544947303162
"Satchell","Doyle",1498,9,0.994027869940279
"Satchell","Goodwin",1756,14,0.992090395480226
"Satchell","Ciccone",1215,13,0.989413680781759
"Satchell","Weed",1730,14,0.99197247706422
"Satchell","Conley",1767,15,0.991582491582492
"Satchell","Hodgson",615,23,0.963949843260188
"Satchell","Lombardo",1585,13,0.991864831038799
"Satchell","Felag",1748,30,0.983127109111361
"Satchell","Walaska",1622,19,0.98842169408897
"Satchell","Pearson",1732,24,0.986332574031891
"Satchell","Paolino",41,2,0.953488372093023
"Satchell","Pichardo",1586,20,0.987546699875467
"Satchell","Sheehan",1559,21,0.986708860759494
"Satchell","Fogarty",1715,17,0.990184757505774
"Satchell","Miller",1664,17,0.989886972040452
"Satchell","DiPalma",1691,22,0.987157034442499
"Satchell","McCaffrey",1658,14,0.991626794258373
"Satchell","Quezada",43,0,1
"Satchell","Bates",635,18,0.972434915773354
"Satchell","Ottiano",1035,14,0.986653956148713
"Satchell","Lombardi",1629,17,0.989671931956258
"Nesselbush","Picard",1662,19,0.988697204045211
"Nesselbush","Calkin",39,0,1
"Nesselbush","Archambault",1701,13,0.992415402567094
"Nesselbush","Cote",1627,35,0.978941034897714
"Nesselbush","Kettle",1621,89,0.947953216374269
"Nesselbush","Rumsey",634,7,0.989079563182527
"Nesselbush","Raptakis",1468,43,0.971542025148908
"Nesselbush","Seveney",37,2,0.948717948717949
"Nesselbush","Crowley",1437,9,0.993775933609959
"Nesselbush","Algiere",1633,47,0.97202380952381
"Nesselbush","Jabour",1685,27,0.984228971962617
"Nesselbush","Ponte",1511,11,0.992772667542707
"Nesselbush","Pagliarini",457,113,0.801754385964912
"Nesselbush","Gallo",1631,11,0.993300852618758
"Nesselbush","Coyne",1012,5,0.995083579154376
"Nesselbush","Morgan",887,135,0.867906066536204
"Nesselbush","Metts",1659,25,0.985154394299287
"Nesselbush","Sosnowski",1670,7,0.99582587954681
"Nesselbush","Gee",969,62,0.939864209505335
"Nesselbush","Lynch",1088,8,0.992700729927007
"Nesselbush","Neill",1487,133,0.917901234567901
"Nesselbush","Doyle",1395,7,0.995007132667618
"Nesselbush","Goodwin",1664,9,0.994620442319187
"Nesselbush","Ciccone",1129,8,0.992963940193492
"Nesselbush","Weed",1637,9,0.99453219927096
"Nesselbush","Conley",1672,11,0.993464052287582
"Nesselbush","Hodgson",642,17,0.974203338391502
"Nesselbush","Lombardo",1593,10,0.993761696818465
"Nesselbush","Felag",1658,25,0.985145573380868
"Nesselbush","Walaska",1621,12,0.992651561543172
"Nesselbush","Pearson",1609,20,0.987722529158993
"Nesselbush","Paolino",34,4,0.894736842105263
"Nesselbush","Pichardo",1489,13,0.991344873501997
"Nesselbush","Sheehan",1451,20,0.986403806934058
"Nesselbush","Fogarty",1623,16,0.990237949969494
"Nesselbush","Miller",1597,16,0.99008059516429
"Nesselbush","DiPalma",1610,11,0.993214065391734
"Nesselbush","McCaffrey",1566,10,0.993654822335025
"Nesselbush","Quezada",36,2,0.947368421052632
"Nesselbush","Bates",653,14,0.979010494752624
"Nesselbush","Ottiano",1063,10,0.990680335507922
"Nesselbush","Lombardi",1632,14,0.991494532199271
"Picard","Calkin",43,2,0.955555555555556
"Picard","Archambault",1832,17,0.990805840995132
"Picard","Cote",1762,30,0.983258928571429
"Picard","Kettle",1663,83,0.952462772050401
"Picard","Rumsey",615,9,0.985576923076923
"Picard","Raptakis",1588,40,0.975429975429975
"Picard","Seveney",45,0,1
"Picard","Crowley",1595,14,0.991298943443132
"Picard","Algiere",1766,51,0.971931755641167
"Picard","Jabour",1819,27,0.985373781148429
"Picard","Ponte",1671,14,0.991691394658754
"Picard","Pagliarini",565,143,0.798022598870056
"Picard","Gallo",1758,19,0.9893078221722
"Picard","Coyne",1164,8,0.993174061433447
"Picard","Morgan",1008,168,0.857142857142857
"Picard","Metts",1788,29,0.984039625756742
"Picard","Sosnowski",1816,11,0.993979200875753
"Picard","Gee",1109,77,0.935075885328836
"Picard","Lynch",1079,13,0.988095238095238
"Picard","Neill",1516,133,0.919345057610673
"Picard","Doyle",1519,11,0.99281045751634
"Picard","Goodwin",1797,13,0.992817679558011
"Picard","Ciccone",1249,14,0.988915281076801
"Picard","Weed",1771,13,0.992713004484305
"Picard","Conley",1803,18,0.990115321252059
"Picard","Hodgson",628,16,0.975155279503106
"Picard","Lombardo",1621,15,0.990831295843521
"Picard","Felag",1793,27,0.985164835164835
"Picard","Walaska",1660,17,0.989862850327967
"Picard","Pearson",1750,15,0.991501416430595
"Picard","Paolino",42,2,0.954545454545455
"Picard","Pichardo",1609,21,0.987116564417178
"Picard","Sheehan",1599,16,0.990092879256966
"Picard","Fogarty",1754,20,0.988726042841037
"Picard","Miller",1702,20,0.988385598141696
"Picard","DiPalma",1733,21,0.988027366020525
"Picard","McCaffrey",1698,16,0.990665110851809
"Picard","Quezada",44,0,1
"Picard","Bates",637,13,0.98
"Picard","Ottiano",1058,11,0.989710009354537
"Picard","Lombardi",1663,18,0.989292088042832
"Calkin","Archambault",43,2,0.955555555555556
"Calkin","Cote",42,2,0.954545454545455
"Calkin","Kettle",41,4,0.911111111111111
"Calkin","Rumsey",0,0,NA
"Calkin","Raptakis",41,0,1
"Calkin","Seveney",43,2,0.955555555555556
"Calkin","Crowley",41,2,0.953488372093023
"Calkin","Algiere",42,3,0.933333333333333
"Calkin","Jabour",43,2,0.955555555555556
"Calkin","Ponte",33,2,0.942857142857143
"Calkin","Pagliarini",0,0,NA
"Calkin","Gallo",30,0,1
"Calkin","Coyne",41,2,0.953488372093023
"Calkin","Morgan",37,5,0.880952380952381
"Calkin","Metts",41,1,0.976190476190476
"Calkin","Sosnowski",38,2,0.95
"Calkin","Gee",40,4,0.909090909090909
"Calkin","Lynch",0,0,NA
"Calkin","Neill",0,0,NA
"Calkin","Doyle",28,0,1
"Calkin","Goodwin",35,2,0.945945945945946
"Calkin","Ciccone",40,2,0.952380952380952
"Calkin","Weed",33,2,0.942857142857143
"Calkin","Conley",43,2,0.955555555555556
"Calkin","Hodgson",0,0,NA
"Calkin","Lombardo",43,2,0.955555555555556
"Calkin","Felag",41,2,0.953488372093023
"Calkin","Walaska",0,0,NA
"Calkin","Pearson",43,2,0.955555555555556
"Calkin","Paolino",40,4,0.909090909090909
"Calkin","Pichardo",0,0,NA
"Calkin","Sheehan",41,1,0.976190476190476
"Calkin","Fogarty",43,2,0.955555555555556
"Calkin","Miller",42,2,0.954545454545455
"Calkin","DiPalma",41,2,0.953488372093023
"Calkin","McCaffrey",43,2,0.955555555555556
"Calkin","Quezada",42,2,0.954545454545455
"Calkin","Bates",0,0,NA
"Calkin","Ottiano",0,0,NA
"Calkin","Lombardi",42,2,0.954545454545455
"Archambault","Cote",1782,42,0.976973684210526
"Archambault","Kettle",1691,88,0.95053400786959
"Archambault","Rumsey",642,4,0.993808049535604
"Archambault","Raptakis",1613,43,0.974033816425121
"Archambault","Seveney",45,0,1
"Archambault","Crowley",1602,6,0.996268656716418
"Archambault","Algiere",1796,51,0.972387655657823
"Archambault","Jabour",1859,16,0.991466666666667
"Archambault","Ponte",1680,7,0.995850622406639
"Archambault","Pagliarini",571,145,0.797486033519553
"Archambault","Gallo",1796,9,0.995013850415512
"Archambault","Coyne",1177,5,0.995769881556684
"Archambault","Morgan",1016,170,0.856661045531197
"Archambault","Metts",1820,26,0.985915492957746
"Archambault","Sosnowski",1833,4,0.997822536744692
"Archambault","Gee",1115,81,0.932274247491639
"Archambault","Lynch",1108,4,0.996402877697842
"Archambault","Neill",1547,137,0.918646080760095
"Archambault","Doyle",1556,4,0.997435897435897
"Archambault","Goodwin",1837,3,0.998369565217391
"Archambault","Ciccone",1287,7,0.994590417310665
"Archambault","Weed",1808,4,0.997792494481236
"Archambault","Conley",1844,7,0.996218260399784
"Archambault","Hodgson",643,18,0.972768532526475
"Archambault","Lombardo",1661,7,0.995803357314149
"Archambault","Felag",1834,18,0.990280777537797
"Archambault","Walaska",1703,10,0.994162288382954
"Archambault","Pearson",1781,12,0.993307306190742
"Archambault","Paolino",42,2,0.954545454545455
"Archambault","Pichardo",1646,12,0.992762364294331
"Archambault","Sheehan",1603,23,0.985854858548585
"Archambault","Fogarty",1797,10,0.994465965688987
"Archambault","Miller",1740,11,0.993717875499714
"Archambault","DiPalma",1772,11,0.99383062254627
"Archambault","McCaffrey",1738,7,0.995988538681948
"Archambault","Quezada",44,0,1
"Archambault","Bates",656,13,0.980568011958146
"Archambault","Ottiano",1080,9,0.991735537190083
"Archambault","Lombardi",1710,3,0.998248686514886
"Cote","Kettle",1653,71,0.958816705336427
"Cote","Rumsey",604,23,0.963317384370016
"Cote","Raptakis",1567,35,0.978152309612984
"Cote","Seveney",44,0,1
"Cote","Crowley",1523,34,0.978163134232498
"Cote","Algiere",1730,59,0.967020681945221
"Cote","Jabour",1771,46,0.974683544303797
"Cote","Ponte",1603,33,0.979828850855746
"Cote","Pagliarini",568,137,0.805673758865248
"Cote","Gallo",1706,42,0.975972540045767
"Cote","Coyne",1152,18,0.984615384615385
