"Senator1","Senator2","Weight2014","Weight2015","Weight2016","Weight2017"
"Ruggerio","Prata",NA,NA,0.994389901823282,1
"Ruggerio","Goldin",0.97752808988764,0.994845360824742,0.995575221238938,1
"Ruggerio","Satchell",0.987261146496815,0.992021276595745,0.98978102189781,1
"Ruggerio","Nesselbush",0.987692307692308,0.99740932642487,0.996491228070175,0.945945945945946
"Ruggerio","Picard",0.988924050632911,0.989795918367347,0.994334277620397,1
"Ruggerio","Calkin",NA,NA,NA,0.947368421052632
"Ruggerio","Archambault",0.995391705069124,0.997455470737914,1,1
"Ruggerio","Cote",0.96742671009772,0.982188295165394,0.981507823613087,1
"Ruggerio","Kettle",0.967840735068913,0.948979591836735,0.929853181076672,0.947368421052632
"Ruggerio","Rumsey",0.991883116883117,NA,NA,NA
"Ruggerio","Raptakis",0.976076555023923,0.985714285714286,0.958260869565217,1
"Ruggerio","Seveney",NA,NA,NA,1
"Ruggerio","Crowley",0.993067590987868,1,0.996575342465753,1
"Ruggerio","Algiere",0.990683229813665,1,0.940425531914894,0.973684210526316
"Ruggerio","Jabour",0.993874425727412,0.9846547314578,0.988748241912799,1
"Ruggerio","Ponte",0.994535519125683,1,0.994169096209913,1
"Ruggerio","Pagliarini",NA,NA,0.796373779637378,NA
"Ruggerio","Gallo",0.99075500770416,0.997237569060773,0.997167138810198,1
"Ruggerio","Coyne",NA,0.994858611825193,0.997167138810198,1
"Ruggerio","Morgan",NA,0.924870466321243,0.805633802816901,0.914285714285714
"Ruggerio","Metts",0.986153846153846,0.994871794871795,0.985775248933144,0.971428571428571
"Ruggerio","Sosnowski",0.996835443037975,1,0.997202797202797,1
"Ruggerio","Gee",NA,0.951156812339332,0.918881118881119,0.945945945945946
"Ruggerio","Lynch",0.993836671802773,1,NA,NA
"Ruggerio","Neill",0.964396284829721,0.961240310077519,0.829861111111111,NA
"Ruggerio","Doyle",0.995073891625616,1,0.996575342465753,1
"Ruggerio","Goodwin",0.996941896024465,1,0.998544395924309,1
"Ruggerio","Ciccone",0.994623655913978,1,0.994108983799705,1
"Ruggerio","Weed",0.996927803379416,1,0.996969696969697,1
"Ruggerio","Conley",0.99388379204893,1,0.995726495726496,1
"Ruggerio","Hodgson",0.974882260596546,NA,NA,NA
"Ruggerio","Lombardo",0.99021207177814,1,0.996563573883162,1
"Ruggerio","Felag",0.993710691823899,1,0.984528832630098,1
"Ruggerio","Walaska",0.990430622009569,0.997389033942559,0.995253164556962,NA
"Ruggerio","Pearson",0.990580847723705,0.997118155619596,0.995652173913044,1
"Ruggerio","Paolino",NA,NA,NA,0.945945945945946
"Ruggerio","Pichardo",0.985623003194888,0.99406528189911,0.998425196850394,NA
"Ruggerio","Sheehan",0.983739837398374,1,0.981790591805766,0.972222222222222
"Ruggerio","Fogarty",0.99151103565365,0.994832041343669,0.995804195804196,1
"Ruggerio","Miller",0.990521327014218,0.997402597402597,1,1
"Ruggerio","DiPalma",0.989708404802744,0.997319034852547,0.994374120956399,1
"Ruggerio","McCaffrey",0.988941548183254,1,1,1
"Ruggerio","Quezada",NA,NA,NA,1
"Ruggerio","Bates",0.981366459627329,NA,NA,NA
"Ruggerio","Ottiano",0.989096573208723,1,NA,NA
"Ruggerio","Lombardi",0.993865030674847,0.997448979591837,1,1
"Prata","Goldin",NA,NA,0.98962962962963,1
"Prata","Satchell",NA,NA,0.986803519061584,1
"Prata","Nesselbush",NA,NA,0.99294532627866,0.948717948717949
"Prata","Picard",NA,NA,0.988636363636364,1
"Prata","Calkin",NA,NA,NA,0.95
"Prata","Archambault",NA,NA,0.99438202247191,1
"Prata","Cote",NA,NA,0.982905982905983,1
"Prata","Kettle",NA,NA,0.929508196721311,0.95
"Prata","Rumsey",NA,NA,NA,NA
"Prata","Raptakis",NA,NA,0.958188153310105,1
"Prata","Seveney",NA,NA,NA,1
"Prata","Crowley",NA,NA,0.989690721649485,1
"Prata","Algiere",NA,NA,0.935988620199147,0.975
"Prata","Jabour",NA,NA,0.98589562764457,1
"Prata","Ponte",NA,NA,0.995614035087719,1
"Prata","Pagliarini",NA,NA,0.802797202797203,NA
"Prata","Gallo",NA,NA,0.994318181818182,1
"Prata","Coyne",NA,NA,0.991477272727273,1
"Prata","Morgan",NA,NA,0.809322033898305,0.918918918918919
"Prata","Metts",NA,NA,0.981428571428571,0.972972972972973
"Prata","Sosnowski",NA,NA,0.991584852734923,1
"Prata","Gee",NA,NA,0.917251051893408,0.948717948717949
"Prata","Lynch",NA,NA,NA,NA
"Prata","Neill",NA,NA,0.829268292682927,NA
"Prata","Doyle",NA,NA,0.993162393162393,1
"Prata","Goodwin",NA,NA,0.992690058479532,1
"Prata","Ciccone",NA,NA,0.99112426035503,1
"Prata","Weed",NA,NA,0.993939393939394,1
"Prata","Conley",NA,NA,0.995708154506438,1
"Prata","Hodgson",NA,NA,NA,NA
"Prata","Lombardo",NA,NA,0.996551724137931,1
"Prata","Felag",NA,NA,0.984463276836158,1
"Prata","Walaska",NA,NA,0.992050874403816,NA
"Prata","Pearson",NA,NA,0.992732558139535,1
"Prata","Paolino",NA,NA,NA,0.948717948717949
"Prata","Pichardo",NA,NA,0.992076069730586,NA
"Prata","Sheehan",NA,NA,0.97869101978691,0.973684210526316
"Prata","Fogarty",NA,NA,0.995792426367461,1
"Prata","Miller",NA,NA,0.995137763371151,1
"Prata","DiPalma",NA,NA,0.988700564971751,1
"Prata","McCaffrey",NA,NA,0.994293865905849,1
"Prata","Quezada",NA,NA,NA,1
"Prata","Bates",NA,NA,NA,NA
"Prata","Ottiano",NA,NA,NA,NA
"Prata","Lombardi",NA,NA,1,1
"Goldin","Satchell",0.982171799027553,0.992718446601942,0.989180834621329,1
"Goldin","Nesselbush",0.978056426332288,0.992890995260663,0.998148148148148,0.944444444444444
"Goldin","Picard",0.977491961414791,0.985948477751756,0.994011976047904,1
"Goldin","Calkin",NA,NA,NA,0.944444444444444
"Goldin","Archambault",0.98125,0.993006993006993,0.995562130177515,1
"Goldin","Cote",0.957983193277311,0.979020979020979,0.980480480480481,1
"Goldin","Kettle",0.954758190327613,0.948598130841122,0.929553264604811,0.944444444444444
