"","VotesAgainst2003","VotesAgainst2004","VotesAgainst2005","VotesAgainst2006","VotesAgainst2007","VotesAgainst2008","VotesAgainst2009","VotesAgainst2010","VotesAgainst2011","VotesAgainst2012","VotesAgainst2013","VotesAgainst2014","VotesAgainst2015","VotesAgainst2016","VotesAgainst2017"
"Sheehan",0.0234113712374582,0.0348692403486924,0.0427480916030534,0.0131578947368421,0.0304761904761905,0.0439024390243902,0.0621212121212121,0.0362903225806452,0.01171875,0.0129310344827586,0.0238500851788756,0.0155339805825243,0,0.0151057401812689,0.0163934426229508
"Quezada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Seveney",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Cote",0.016566265060241,0.0301204819277108,0.0280898876404494,0.0227882037533512,0.072122052704577,0.0558912386706949,0.0536231884057971,0.0460652591170825,0.0487804878048781,0.0401459854014599,0.0464684014869888,0.0345368916797488,0.0158371040723982,0.0169971671388102,0
"Metts",0.00156739811912226,NA,0.0331412103746398,0.0113350125944584,0.0316301703163017,0.0574162679425837,0.0582241630276565,0.025531914893617,0.0191972076788831,0.0082815734989648,0.0182119205298013,0.0148588410104012,0.0046189376443418,0.0127659574468085,0.0163934426229508
"Pichardo",0.0200333889816361,0.0285359801488834,0.0524534686971235,0.00757575757575758,0.0168067226890756,0.0367965367965368,0.0546528803545052,0.023109243697479,0.0192678227360308,0.00743494423791822,0.0139616055846422,0.00914634146341463,0.00536193029490617,0.00157232704402516,NA
"Mccaffrey",0.00300751879699248,0.00987654320987654,0.0170454545454545,0.0036144578313253,0.0140056022408964,0.0508474576271186,0.0570652173913043,0.0176125244618395,0.0142857142857143,0,0.0109489051094891,0.00603318250377074,0,0.00141643059490085,0
"Maher",0.0248833592534992,0.0649038461538462,0.0351170568561873,0.0416666666666667,0.10738255033557,0.0806142034548944,0.0986937590711176,0.0818713450292398,0.0796296296296296,0.0742753623188406,NA,NA,NA,NA,NA
"Roberts",0.0126582278481013,0.0226364846870839,0.0330578512396694,0.0106951871657754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fogarty",0.00947867298578199,0.0222222222222222,0.0218855218855219,0.00371747211895911,0.00900900900900901,0.00625,0.054519368723099,0.0265654648956357,0.0140597539543058,0.0087719298245614,0.0202578268876611,0.0065359477124183,0.00458715596330275,0.00417827298050139,0
"Maselli",NA,NA,NA,NA,0.010989010989011,0.0415282392026578,0.0311231393775372,0.0213178294573643,NA,NA,NA,NA,NA,NA,NA
"Conley",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0066006600660066,0.00293255131964809,0,0.00426136363636364,0
"Hodgson",NA,NA,NA,NA,NA,NA,NA,NA,0.0814814814814815,0.0870337477797513,0.0892255892255892,0.0271084337349398,NA,NA,NA
"Pagliarini",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.204166666666667,NA
"Gallo",0.00603318250377074,0.00728155339805825,0.0185185185185185,0.00119617224880383,0.00835654596100279,0.0392156862745098,0.0514905149051491,0.0133843212237094,0.00884955752212389,0.0036101083032491,0.00175438596491228,0.00441826215022091,0.00253807106598985,0.00564174894217207,0
"Mcburney",0.00735294117647059,0.0170603674540682,0.00992063492063492,0.0032520325203252,0.00847457627118644,0.0181818181818182,0.0485762144053601,0.0309597523219814,NA,NA,NA,NA,NA,NA,NA
"Nesselbush",NA,NA,NA,NA,NA,NA,NA,NA,0.00863557858376511,0,0.0140845070422535,0.00736377025036819,0.00233644859813084,0.00175131348511384,0.0344827586206897
"Weed",0.028125,0.00721153846153846,0.0112359550561798,0.00248756218905473,0.00843881856540084,0.043956043956044,0.04047976011994,0.0136054421768707,0.00343642611683849,0.00189393939393939,0.00816993464052288,0.00147058823529412,0,0.00301659125188537,0
