"Senator1","Senator2","Weight2017","Weight2015","Weight2013","Weight2011"
"MTL000363","MTL000137",0.887135922330097,NA,NA,NA
"MTL000363","MTL000405",NA,NA,NA,NA
"MTL000363","MTL000372",NA,NA,NA,NA
"MTL000363","MTL000034",NA,NA,NA,NA
"MTL000363","MTL000183",NA,NA,NA,NA
"MTL000363","MTL000374",NA,NA,NA,NA
"MTL000363","MTL000168",0.855855855855856,NA,NA,NA
"MTL000363","MTL000010",0.710843373493976,NA,NA,NA
"MTL000363","MTL000409",0.649746192893401,NA,NA,NA
"MTL000363","MTL000019",NA,NA,NA,NA
"MTL000363","MTL000086",NA,NA,NA,NA
"MTL000363","MTL000032",NA,NA,NA,NA
"MTL000363","MTL000391",NA,NA,NA,NA
"MTL000363","MTL000393",NA,NA,NA,NA
"MTL000363","MTL000247",NA,NA,NA,NA
"MTL000363","MTL000020",NA,NA,NA,NA
"MTL000363","MTL000082",NA,NA,NA,NA
"MTL000363","MTL000248",0.868725868725869,NA,NA,NA
"MTL000363","MTL000206",NA,NA,NA,NA
"MTL000363","MTL000261",NA,NA,NA,NA
"MTL000363","MTL000014",NA,NA,NA,NA
"MTL000363","MTL000015",NA,NA,NA,NA
"MTL000363","MTL000122",NA,NA,NA,NA
"MTL000363","MTL000060",0.893280632411067,NA,NA,NA
"MTL000363","MTL000320",NA,NA,NA,NA
"MTL000363","MTL000115",NA,NA,NA,NA
"MTL000363","MTL000383",0.850649350649351,NA,NA,NA
"MTL000363","MTL000052",NA,NA,NA,NA
"MTL000363","MTL000076",NA,NA,NA,NA
"MTL000363","MTL000124",NA,NA,NA,NA
"MTL000363","MTL000364",NA,NA,NA,NA
"MTL000363","MTL000187",NA,NA,NA,NA
"MTL000363","MTL000006",NA,NA,NA,NA
"MTL000363","MTL000387",0.84875,NA,NA,NA
"MTL000363","MTL000133",0.683053040103493,NA,NA,NA
"MTL000363","MTL000094",NA,NA,NA,NA
"MTL000363","MTL000388",NA,NA,NA,NA
"MTL000363","MTL000289",0.899094437257439,NA,NA,NA
"MTL000363","MTL000318",NA,NA,NA,NA
"MTL000363","MTL000222",0.65389527458493,NA,NA,NA
"MTL000363","MTL000178",NA,NA,NA,NA
"MTL000363","MTL000147",NA,NA,NA,NA
"MTL000363","MTL000143",0.877734877734878,NA,NA,NA
"MTL000363","MTL000246",NA,NA,NA,NA
"MTL000363","MTL000313",NA,NA,NA,NA
"MTL000363","MTL000112",NA,NA,NA,NA
"MTL000363","MTL000305",0.625482625482625,NA,NA,NA
"MTL000363","MTL000095",NA,NA,NA,NA
"MTL000363","MTL000184",NA,NA,NA,NA
"MTL000363","MTL000236",NA,NA,NA,NA
"MTL000363","MTL000404",NA,NA,NA,NA
"MTL000363","MTL000026",NA,NA,NA,NA
"MTL000363","MTL000385",0.837239583333333,NA,NA,NA
"MTL000363","MTL000406",NA,NA,NA,NA
"MTL000363","MTL000371",0.660691421254802,NA,NA,NA
"MTL000363","MTL000058",NA,NA,NA,NA
"MTL000363","MTL000368",NA,NA,NA,NA
"MTL000363","MTL000097",NA,NA,NA,NA
"MTL000363","MTL000021",0.854114713216958,NA,NA,NA
"MTL000363","MTL000226",NA,NA,NA,NA
"MTL000363","MTL000012",NA,NA,NA,NA
"MTL000363","MTL000027",0.878112712975098,NA,NA,NA
"MTL000363","MTL000091",NA,NA,NA,NA
"MTL000363","MTL000066",0.848133848133848,NA,NA,NA
"MTL000363","MTL000068",NA,NA,NA,NA
"MTL000363","MTL000212",NA,NA,NA,NA
"MTL000363","MTL000129",NA,NA,NA,NA
"MTL000363","MTL000213",0.613899613899614,NA,NA,NA
"MTL000363","MTL000221",NA,NA,NA,NA
"MTL000363","MTL000127",NA,NA,NA,NA
"MTL000363","MTL000144",NA,NA,NA,NA
"MTL000363","MTL000001",NA,NA,NA,NA
"MTL000363","MTL000109",NA,NA,NA,NA
"MTL000363","MTL000145",NA,NA,NA,NA
"MTL000363","MTL000136",NA,NA,NA,NA
"MTL000363","MTL000043",0.862615587846764,NA,NA,NA
"MTL000363","MTL000028",NA,NA,NA,NA
"MTL000363","MTL000108",NA,NA,NA,NA
"MTL000363","MTL000040",NA,NA,NA,NA
"MTL000363","MTL000053",NA,NA,NA,NA
"MTL000363","MTL000125",NA,NA,NA,NA
"MTL000363","MTL000402",0.879021879021879,NA,NA,NA
"MTL000363","MTL000273",NA,NA,NA,NA
"MTL000363","MTL000110",NA,NA,NA,NA
"MTL000363","MTL000141",NA,NA,NA,NA
"MTL000363","MTL000049",NA,NA,NA,NA
"MTL000363","MTL000139",NA,NA,NA,NA
"MTL000363","MTL000201",NA,NA,NA,NA
"MTL000363","MTL000114",NA,NA,NA,NA
"MTL000363","MTL000031",NA,NA,NA,NA
"MTL000363","MTL000176",NA,NA,NA,NA
"MTL000363","MTL000198",NA,NA,NA,NA
"MTL000363","MTL000081",NA,NA,NA,NA
"MTL000363","MTL000013",0.669677419354839,NA,NA,NA
"MTL000363","MTL000384",NA,NA,NA,NA
"MTL000363","MTL000007",NA,NA,NA,NA
"MTL000363","MTL000308",NA,NA,NA,NA
"MTL000363","MTL000378",NA,NA,NA,NA
"MTL000363","MTL000328",NA,NA,NA,NA
"MTL000363","MTL000399",NA,NA,NA,NA
"MTL000363","MTL000262",NA,NA,NA,NA
"MTL000363","MTL000062",NA,NA,NA,NA
"MTL000363","MTL000047",NA,NA,NA,NA
"MTL000363","MTL000100",NA,NA,NA,NA
"MTL000363","MTL000121",0.694300518134715,NA,NA,NA
"MTL000363","MTL000375",NA,NA,NA,NA
"MTL000363","MTL000056",NA,NA,NA,NA
"MTL000363","MTL000281",NA,NA,NA,NA
"MTL000363","MTL000159",0.86096256684492,NA,NA,NA
"MTL000363","MTL000224",NA,NA,NA,NA
"MTL000363","MTL000077",NA,NA,NA,NA
"MTL000363","MTL000379",NA,NA,NA,NA
"MTL000363","MTL000084",NA,NA,NA,NA
